Name,Latitude,Longitude,Elevation,Prominence,Isolation,State,Counties,Quad,Completed,Id
7072,40.0963,-119.7819,7072,362,2.75,NV,Washoe,Spanish Flat,no,44288
Badger Mountain North,41.6375,-119.3699,7066,390,2.47,NV,Washoe,Blowout Mountain,no,44315
7064,41.6546,-119.3494,7064,414,1.59,NV,Washoe,Blowout Mountain,no,44305
7046,41.8195,-119.6439,7046,316,1.5,NV,Washoe,Calcutta Lake,no,44347
Lone Spring Mountain,41.518,-119.6368,7036,1026,15.48,NV,Washoe,Painted Point,no,44369
6995,41.4656,-119.6408,6995,525,3.63,NV,Washoe,Powers Well,no,44535
Mahogany Mountain,41.2972,-119.4737,6979,989,13.29,NV,Washoe,Mahogany Mountain,no,44501
6971,39.6342,-119.5558,6971,393,1.6,NV,Washoe,Spanish Springs Peak,no,44517
Nut Mountain,41.5908,-119.4565,6920,794,5.52,NV,Washoe,Nut Mountain,no,44628
Rowland Mountain,40.8551,-119.9465,6911,531,10.3,NV,Washoe,Hole In The Ground,no,44640
Cherry Mountain,41.147,-119.746,6908,858,11.32,NV,Washoe,Bordwell Spring,no,44649
6895,40.9232,-119.4939,6895,605,2.2,NV,Washoe,Melody Mountain,no,44687
6881,40.2328,-119.4775,6881,301,1.17,NV,Washoe,Tohakum Peak NW,no,44712
Big Hat Mountain,41.4538,-119.9482,6870,600,4.32,NV,Washoe,Big Hat Mountain,no,44732
Louse Benchmark,39.4096,-119.6645,6862,552,5.43,NV,Washoe,Steamboat,no,44751
Sheep Peaks North,41.1367,-119.3333,6854,594,1.45,NV,Washoe,McConnel Canyon,no,44773
6849,40.4591,-119.5589,6849,509,1.59,NV,Washoe,Pah-Rum Peak,no,44783
Poodle Mountain,40.8102,-119.6483,6832,946,8.79,NV,Washoe,Poodle Mountain,no,44813
Nellie Spring Mountain,41.3962,-119.6137,6832,502,5,NV,Washoe,Nellie Spring Mountain,no,44812
6815,39.7256,-119.9972,6815,305,4.99,NV,Washoe,Reno NW,no,142226
Coleman Benchmark,41.9676,-119.7375,6808,578,2.69,NV,Washoe,Coleman Canyon,no,44872
6807,39.9377,-119.8546,6807,492,2.28,NV,Washoe,Dogskin Mountain,no,44875
Hart Mountain,41.2829,-119.5856,6806,596,5.9,NV,Washoe,Hart Mountain,no,44878
6782,41.5518,-119.879,6782,492,2.89,NV,Washoe,Fortynine Mountain,no,44916
6774,40.0513,-119.4335,6774,754,4.28,NV,Washoe,Dove Creek,no,44940
6771,41.1222,-119.3986,6771,311,1.74,NV,Washoe,Leadville,no,44944
Burnt Mountain,40.7379,-119.7185,6770,660,6.21,NV,Washoe,Horse Canyon,no,44967
6766,40.0249,-119.4412,6766,586,1.87,NV,Washoe,Dove Creek,no,44954
6766,41.8257,-119.8621,6766,336,8.02,NV,Washoe,Mosquito Valley,no,44955
6752,41.0402,-119.4072,6752,412,2.59,NV,Washoe,Leadville,no,44976
Little Mahogany Mountain,41.292,-119.5484,6750,440,2.03,NV,Washoe,Hart Mountain,no,44979
6745,39.9505,-119.8597,6745,348,0.93,NV,Washoe,Dogskin Mountain,no,44987
6741,41.203,-119.6843,6741,451,5.03,NV,Washoe,Bordwell Spring,no,44997
6738,41.514,-119.871,6738,308,2.65,NV,Washoe,Vya,no,45009
6737,40.5026,-119.5722,6737,717,3.09,NV,Washoe,Smith Canyon,no,45012
Butte Benchmark,40.9016,-119.9198,6735,345,3.51,NV,Washoe,Burnt Lake,no,45013
Pinto Peak,41.3066,-119.6538,6721,551,3.91,NV,Washoe,Pinto Springs,no,45038
Button Mountain,40.7572,-119.6643,6708,398,3.14,NV,Washoe,Poodle Mountain,no,45063
6687,40.4573,-119.5471,6687,347,0.63,NV,Washoe,Pah-Rum Peak,no,45111
6672,41.8759,-119.7389,6672,862,6.26,NV,Washoe,Coleman Canyon,no,45136
6668,41.1637,-119.7066,6668,306,2.35,NV,Washoe,Bordwell Spring,no,45147
Round Mountain,41.9817,-119.4303,6662,376,9.42,NV,Washoe,Catnip Canyon,no,45156
Red Mountain,40.9403,-119.4577,6644,304,0.8,NV,Washoe,Melody Mountain,no,45208
6642,41.3604,-119.9684,6642,302,1.95,NV,Washoe,Hays Canyon,no,45213
6636,40.0368,-119.4335,6636,496,0.92,NV,Washoe,Dove Creek,no,45221
6630,41.676,-119.9537,6630,420,3.43,NV,Washoe,Carter Reservoir,no,45240
6630,40.7323,-119.699,6630,300,1.09,NV,Washoe,Horse Canyon,no,45239
6620,40.9082,-119.5779,6620,450,4.51,NV,Washoe,Crutcher Canyon,no,45262
Van Benchmark,41.3698,-119.3123,6609,479,5.1,NV,Washoe,High Rock Lake,no,45289
6607,39.7712,-119.9216,6607,587,3.37,NV,Washoe,Granite Peak,no,45291
6599,41.0405,-119.4447,6599,339,1.96,NV,Washoe,Leadville,no,45306
Twin Peaks North,40.6416,-119.8925,6592,942,11.3,NV,Washoe,Mixie Flat,no,45316
6590,41.8076,-119.3606,6590,300,3.22,NV,Washoe,Catnip Mountain SE,no,142283
6590,40.7703,-119.6577,6590,300,0.97,NV,Washoe,Poodle Mountain,no,45319
6586,41.9689,-119.7057,6586,336,1.64,NV,Washoe,Coleman Canyon,no,45326
Gin Benchmark,39.915,-119.6663,6564,314,5.91,NV,Washoe,Tule Peak,no,45378
Berry Benchmark,41.7417,-119.9043,6564,314,5.21,NV,Washoe,Carter Reservoir,no,45377
Table Butte,41.6672,-119.5372,6562,572,6.73,NV,Washoe,Massacre Lake,no,45383
6562,40.1174,-119.4885,6562,462,2.04,NV,Washoe,Dove Creek,no,45382
